Index,Day,Month,Year,Initials,SVL,VT,R,Weight,Sex,Page,Comments,PredictedMass,CorrectedMass,FinalMass,,
18361,11,11,1971,IC,139,145,C,86,J,36,,71.18200663,86.80732516,86,,
18364,,2,1988,MEM,43,50,C,4.45,J,36,,3.611888419,4.404741975,4.45,,
18366,,2,1988,MEM,69.2,68,C,15.6,J,36,,13.04243113,15.90540381,15.6,,
18369,17,2,1989,MEM,122,103,C,56.9,J,36,,48.69582219,59.38514901,56.9,,
18385,17,2,1989,MEM,51,54,C,5.6,J,36,,4.623150641,5.637988586,5.6,,
18393,16,2,1989,MEM,74,83,C,16.34,J,37,,13.35156106,16.28239154,16.34,,
18399,16,2,1989,MEM,112,103,C,55.07,J,37,,46.53065873,56.74470576,55.07,,
18424,,2,1988,MEM,51,56,C,5.85,J,37,,4.798539638,5.851877608,5.85,,
18428,,2,1988,MEM,56.8,62,C,7.63,J,37,,6.265263873,7.640565699,7.63,,
18429,14,11,1971,IC,201,214,C,250,F,37,,206.1918279,251.4534487,250,,
18430,,2,1988,MEM,67.5,72,C,14.08,J,37,,11.60892139,14.15722121,14.08,,
18461,6,11,1949,WD,254,270,C,737,,37,,608.0220807,741.4903424,737,,
19424,28,2,1971,IC,258,276,C,640,M,37,,527.4091701,643.1819148,640,,
19456,7,2,1972,IC,225,251,C,404.5,F,38,,330.8478419,403.4729779,404.5,,
20256,14,2,1972,IC,238,263,C,509.5,M,38,,417.4455835,509.0799798,509.5,,
22528,6,11,1949,WD,222,241,C,595,,38,,489.0535415,596.406758,595,,
22545,28,2,1971,IC,218,237,C,350,M?,38,,287.6044731,350.7371623,350,,
23072,28,2,1971,IC,123,126,C,65,J,38,,53.96771586,65.81428764,65,,
23456,28,2,1971,IC,279,311,C,750,M,39,,613.5246621,748.2008074,750,,
24756,6,11,1949,WD,210,241,C,482,,39,,392.1840206,478.2731959,482,,
25601,6,11,1989,WD,84,91,C,35,J,40,,28.77848678,35.09571559,35,,
25625,6,11,1949,WD,254,127,C,624,,40,,567.3870968,691.9354839,624,,
25630,11,11,1971,IC,138,147,C,96,J,40,,79.17061536,96.54953093,96,,
25632,6,11,1949,WD,152,146,C,142,J,40,,119.159575,145.3165549,142,,
25656,,2,1988,MEM,112,142,C,82.3,J,40,,65.68188081,80.09985464,82.3,,
25662,,2,1988,MEM,55.4,59,C,6.45,J,40,,5.319481836,6.48717297,6.45,,
25921,16,2,1989,MEM,127,106,C,72.91,J,40,,62.50005343,76.21957735,72.91,,
25937,16,2,1989,MEM,86,40,C,23.6,J,40,,21.59556457,26.33605436,23.6,,
25945,16,2,1989,MEM,59,60,C,7.48,J,40,,6.218104908,7.583054766,7.48,,
